Instance,hc_neighbors,hc_k,HC Profit,HC Time,HC Ecart
1,multi_opt_neighborhood,1,3800.0,0.00019621849060058594,0.0
1,multi_opt_neighborhood,2,3800.0,0.00021886825561523438,0.0
1,multi_opt_neighborhood,3,3800.0,0.00012803077697753906,0.0
1,multi_opt_neighborhood,4,3800.0,8.702278137207031e-05,0.0
1,multi_opt_neighborhood,5,3800.0,7.605552673339844e-05,0.0
1,multi_swap_neighborhood_indices,1,3800.0,8.893013000488281e-05,0.0
1,multi_swap_neighborhood_indices,2,3800.0,7.772445678710938e-05,0.0
1,multi_swap_neighborhood_indices,3,3800.0,4.982948303222656e-05,0.0
1,multi_swap_neighborhood_indices,4,3800.0,1.5974044799804688e-05,0.0
1,multi_swap_neighborhood_indices,5,3800.0,9.775161743164062e-06,0.0
1,resource_profit_based_reverse_k_neighborhood,1,3800.0,0.0002579689025878906,0.0
1,resource_profit_based_reverse_k_neighborhood,2,3800.0,0.0002510547637939453,0.0
1,resource_profit_based_reverse_k_neighborhood,3,3800.0,0.0002770423889160156,0.0
1,resource_profit_based_reverse_k_neighborhood,4,3800.0,0.0002818107604980469,0.0
1,resource_profit_based_reverse_k_neighborhood,5,3800.0,0.0002951622009277344,0.0
2,multi_opt_neighborhood,1,8336.9,0.0001811981201171875,369.2000000000007
2,multi_opt_neighborhood,2,8336.9,0.000240325927734375,369.2000000000007
2,multi_opt_neighborhood,3,8336.9,0.00032210350036621094,369.2000000000007
2,multi_opt_neighborhood,4,8336.9,0.0003809928894042969,369.2000000000007
2,multi_opt_neighborhood,5,8706.1,0.0007641315460205078,0.0
2,multi_swap_neighborhood_indices,1,8336.9,0.00012683868408203125,369.2000000000007
2,multi_swap_neighborhood_indices,2,8336.9,0.00032711029052734375,369.2000000000007
2,multi_swap_neighborhood_indices,3,8687.5,0.0008599758148193359,18.600000000000364
2,multi_swap_neighborhood_indices,4,8336.9,0.0002579689025878906,369.2000000000007
2,multi_swap_neighborhood_indices,5,8336.9,0.0001761913299560547,369.2000000000007
2,resource_profit_based_reverse_k_neighborhood,1,8336.9,0.0003910064697265625,369.2000000000007
2,resource_profit_based_reverse_k_neighborhood,2,8336.9,0.0004279613494873047,369.2000000000007
2,resource_profit_based_reverse_k_neighborhood,3,8336.9,0.0004467964172363281,369.2000000000007
2,resource_profit_based_reverse_k_neighborhood,4,8336.9,0.0009489059448242188,369.2000000000007
2,resource_profit_based_reverse_k_neighborhood,5,8706.1,0.0014388561248779297,0.0
3,multi_opt_neighborhood,1,3825.0,0.0004849433898925781,190.0
3,multi_opt_neighborhood,2,4005.0,0.001600027084350586,10.0
3,multi_opt_neighborhood,3,4015.0,0.001519918441772461,0.0
3,multi_opt_neighborhood,4,3985.0,0.003228902816772461,30.0
3,multi_opt_neighborhood,5,4005.0,0.012950897216796875,10.0
3,multi_swap_neighborhood_indices,1,4005.0,0.0004642009735107422,10.0
3,multi_swap_neighborhood_indices,2,3985.0,0.0028820037841796875,30.0
3,multi_swap_neighborhood_indices,3,3950.0,0.013466119766235352,65.0
3,multi_swap_neighborhood_indices,4,3825.0,0.008584022521972656,190.0
3,multi_swap_neighborhood_indices,5,3825.0,0.005209207534790039,190.0
3,resource_profit_based_reverse_k_neighborhood,1,3825.0,0.00047016143798828125,190.0
3,resource_profit_based_reverse_k_neighborhood,2,3825.0,0.0003998279571533203,190.0
3,resource_profit_based_reverse_k_neighborhood,3,3865.0,0.0006687641143798828,150.0
3,resource_profit_based_reverse_k_neighborhood,4,3865.0,0.0013058185577392578,150.0
3,resource_profit_based_reverse_k_neighborhood,5,3875.0,0.0019390583038330078,140.0
4,multi_opt_neighborhood,1,6010.0,0.00020694732666015625,110.0
4,multi_opt_neighborhood,2,6090.0,0.0010428428649902344,30.0
4,multi_opt_neighborhood,3,6120.0,0.0033380985260009766,0.0
4,multi_opt_neighborhood,4,6120.0,0.010334968566894531,0.0
4,multi_opt_neighborhood,5,6070.0,0.02477097511291504,50.0
4,multi_swap_neighborhood_indices,1,6090.0,0.0010809898376464844,30.0
4,multi_swap_neighborhood_indices,2,6120.0,0.009115219116210938,0.0
4,multi_swap_neighborhood_indices,3,6120.0,0.16039395332336426,0.0
4,multi_swap_neighborhood_indices,4,6010.0,0.15023112297058105,110.0
4,multi_swap_neighborhood_indices,5,6010.0,0.24791193008422852,110.0
4,resource_profit_based_reverse_k_neighborhood,1,6010.0,0.00030684471130371094,110.0
4,resource_profit_based_reverse_k_neighborhood,2,6010.0,0.0002548694610595703,110.0
4,resource_profit_based_reverse_k_neighborhood,3,6010.0,0.0002770423889160156,110.0
