Instance;Number of projects (N);Number of resources (M);Optimal profit;[Greedy] Profit;[Repair] Profit;[Hill Climbing] Profit;[VNS + Hill Climbing] Profit;[SA] Profit;Deviation [Greedy];Deviation [Repair];Deviation [Hill Climbing];Deviation [VNS + Hill Climbing];Deviation [SA];Time [Greedy];Time [Repair];Time [Hill Climbing];Time [VNS + Hill Climbing];Time [SA]
1;100;10;23064.0;22667.0;22168.0;0.017212972597988208;0.03884842178286507;60.000170946121216;34.07555389404297;;0,017212972597988208;0,03884842178286507;60,000170946121216;34,07555389404297;;;;
2;100;10;22801.0;22136.0;21912.0;0.02916538748300513;0.03898951800359633;60.0042040348053;35.643182039260864;;0,02916538748300513;0,03898951800359633;60,0042040348053;35,643182039260864;;;;
3;100;10;22131.0;21378.0;21381.0;0.03402467127558628;0.033889114816320995;60.00373816490173;33.70348501205444;;0,03402467127558628;0,033889114816320995;60,00373816490173;33,70348501205444;;;;
4;100;10;22772.0;22468.0;21440.0;0.013349727735815914;0.05849288600035131;60.002309799194336;45.0357129573822;;0,013349727735815914;0,05849288600035131;60,002309799194336;45,0357129573822;;;;
5;100;10;22751.0;22258.0;22342.0;0.021669377170234275;0.017977231770032086;60.006142377853394;33.87443685531616;;0,021669377170234275;0,017977231770032086;60,006142377853394;33,87443685531616;;;;
6;100;10;22777.0;22045.0;21955.0;0.032137682750142685;0.03608903718663564;60.00517201423645;46.66083002090454;;0,032137682750142685;0,03608903718663564;60,00517201423645;46,66083002090454;;;;
7;100;10;21875.0;21486.0;21185.0;0.017782857142857142;0.03154285714285714;60.00217390060425;45.52172589302063;;0,017782857142857142;0,03154285714285714;60,00217390060425;45,52172589302063;;;;
8;100;10;22635.0;21847.0;21334.0;0.03481334216920698;0.057477358073779544;60.003214836120605;38.77659797668457;;0,03481334216920698;0,057477358073779544;60,003214836120605;38,77659797668457;;;;
9;100;10;22511.0;22047.0;21737.0;0.020612145173470747;0.03438319044022922;60.00026488304138;33.6593861579895;;0,020612145173470747;0,03438319044022922;60,00026488304138;33,6593861579895;;;;
10;100;10;22702.0;22193.0;22008.0;0.022420932076469034;0.030569993833142454;60.002110958099365;33.904165267944336;;0,022420932076469034;0,030569993833142454;60,002110958099365;33,904165267944336;;;;
